timestamp,tilt X,tilt Y,alpha,beta,xC_det4,yC_det4,Centroid_det4,xC_det5,yC_det5,Centroid_det5,xC_det14,yC_det14,Centroid_det14
2024-099-00:10:05.600000000,0.0592981867652277,89.9306963863769,0.09121,139.448725,0.0203041104432096,-0.0394287226774769,0.044349532949823,-0.00179921415425788,0.0177039933002816,0.0177951833468862,-0.00513907104407349,-0.0455574246300247,0.0458463628886351
2024-099-00:10:05.700000000,0.0658426918555118,89.9231812317732,0.101175,139.39953,-0.0181720361513191,-0.0354880918296549,0.0398701336791698,-0.00181526564473569,0.0176574869367268,0.0177505502529256,-0.00513294531320604,-0.0456354098185811,0.0459231723305153
2024-099-00:10:05.800000000,0.0711283910559528,89.9172055882849,0.109152,139.334215,-0.00564390061175893,-0.0367367912509085,0.0371678011930789,-0.00181668282784159,0.0176040397279171,0.0176975295236103,-0.00513979451013483,-0.0457166077086893,0.0460046270281219
2024-099-00:10:05.900000000,0.0608663380522468,89.9289440254983,0.093561,139.41672,-5.84146969041846e-05,-0.0225167836343901,0.0225168594061151,-0.00181466803773482,0.0175685061973832,0.0176619769588421,-0.00513835484848053,-0.0457731858749321,0.0460606907860703
2024-099-00:10:06.000000000,0.0211034649817116,89.9744739702415,0.03312,140.417997,-0.00670740176803133,-0.00261347482966814,0.0071985754954087,-0.00181856398785116,0.0175553745845032,0.0176493159011938,-0.00514176719342144,-0.0459276404832267,0.0462145640488783
2024-099-00:10:06.100000000,0.0273597843118937,90.0296098209053,0.040315,42.73826,0.0030096617834102,0.00324931223806489,0.00442900599129852,-0.00181327679751748,0.017546139606223,0.0176395858178553,-0.00514489830106166,-0.0459466680712878,0.0462338218772941
2024-099-00:10:06.200000000,0.0632854403100702,90.0703614829511,0.094635,41.969278,-0.00657371778611745,0.0345128777193463,0.0351333530139392,-0.00181911137647872,0.017566954841617,0.0176608909347021,-0.00514010232523054,-0.0459634203204172,0.04624993685904
2024-099-00:10:06.300000000,0.0903450647423543,90.1009906517732,0.135504,41.815484,-0.00983546039548745,0.0512109313672763,0.0521468673334755,-0.00182569164561966,0.0175973166978939,0.0176917694126636,-0.00513061543284314,-0.0460787776942312,0.0463635305872418
2024-099-00:10:06.400000000,0.112344551169349,90.1257488586967,0.168624,41.777793,-0.00372248656268915,0.0652759502332451,0.0653820050553857,-0.00182750353246133,0.0176503520027069,0.0177447089291602,-0.00512869039254601,-0.0460634274318204,0.0463480615766095
2024-099-00:10:06.500000000,0.129953790679142,90.145556156681,0.195127,41.758832,-0.0125355814936093,0.0620004387989693,0.0632550014990724,-0.00183470867216573,0.0176885332746278,0.0177834295151226,-0.00512060854702604,-0.0459932419821057,0.0462774128481315
2024-099-00:10:06.600000000,0.144132296590906,90.1614353997053,0.216415,41.759123,-0.0114246656664892,0.0826745345859789,0.0834601800537195,-0.00184119991924898,0.0177459709910308,0.0178412304384297,-0.0051129164746946,-0.0459963723362152,0.0462796735399997
2024-099-00:10:06.700000000,0.155386911494353,90.173967649339,0.233259,41.77116,-0.0109453834884577,0.0860405930263517,0.0867339902693038,-0.00184839356739204,0.0178099323347156,0.0179055926611527,-0.00510540056591646,-0.0460248092812125,0.0463071072764262
2024-099-00:10:06.800000000,0.164372265540756,90.1839505565419,0.24669,41.78307,0.0090520288120298,0.0864466523220051,0.0869192897077251,-0.00183904093367423,0.0178739705712022,0.0179683303491429,-0.00511226271974563,-0.0460207352230856,0.0463038151839462
2024-099-00:10:06.900000000,0.171543504629893,90.1918759258248,0.257378,41.797919,-0.0295948971378656,0.0894365412226143,0.0942059066219588,-0.00186185498415214,0.0179427880906335,0.0180391282618476,-0.00508935029065358,-0.0460478456797152,0.0463282373733757
2024-099-00:10:07.000000000,0.177357238382122,90.1982100807251,0.265975,41.822144,-0.00655458164891252,0.0958541524506459,0.0960779947887336,-0.00186598086724547,0.0180242989470735,0.0181206301526851,-0.00508581357488697,-0.0460676996589397,0.0463475830177236
2024-099-00:10:07.100000000,0.164754281596889,90.1839106770775,0.246915,41.855337,-0.00583043450932403,0.0860520613035459,0.086249354902844,-0.0018688196203511,0.0180938194404939,0.0181900739063535,-0.00507971382615845,-0.0460957117440311,0.046374757506045
2024-099-00:10:07.200000000,0.116991951618068,90.1302828355931,0.175102,41.923408,-0.000241450763858325,0.0497444087814297,0.0497449947581196,-0.00186791691301158,0.0181255398053313,0.0182215341513432,-0.00507985803348039,-0.0460302785306481,0.0463097343897518
2024-099-00:10:07.300000000,0.0591699039749714,90.0652093151647,0.088053,42.220121,0.00401135941284865,0.0377900069181826,0.038002310814151,-0.00186313542872682,0.0181446247815858,0.0182400296625393,-0.00507987771474959,-0.0460532044733236,0.0463325242120323
2024-099-00:10:07.400000000,0.0165090489333874,90.017118260292,0.023782,43.962112,0.0101913756761281,0.00566991139031973,0.0116624197037344,-0.00185191692554022,0.0181349361072988,0.0182292485833869,-0.00508712997254797,-0.046089611114946,0.0463695066189468
2024-099-00:10:07.500000000,0.0159102156427246,89.9806565989594,0.025046,140.562228,-0.0141417028877091,-0.0129415577674981,0.0191695508036503,-0.00186080403253643,0.0181126002045671,0.0182079344742337,-0.00508750443265192,-0.0461363660590768,0.0464160206662461
2024-099-00:10:07.600000000,0.0420065232675059,89.9512202469737,0.064374,139.266714,-0.0047875759788337,-0.0225803107447309,0.023082272788478,-0.00186281803943169,0.0180773716470476,0.0181730970589361,-0.0050841794977882,-0.0461444407899079,0.0464236825012735
2024-099-00:10:07.700000000,0.0630145326102144,89.927466465065,0.096083,139.017041,-0.00704853781699856,-0.0324910474624342,0.0332468051181435,-0.00186693545321781,0.0180273197697034,0.0181237332265077,-0.0050774737992267,-0.0462065467679867,0.0464846824707233
2024-099-00:10:07.800000000,0.0797862307225303,89.9085882811433,0.121334,138.884773,0.00159101433016095,-0.0463317312422952,0.0463590406124528,-0.00186410374764378,0.0179710585971646,0.0180674798985554,-0.00508735094426936,-0.0461521496144068,0.0464316923411235
2024-099-00:10:07.900000000,0.0931439145329756,89.8935931234141,0.141415,138.802478,-0.0118353803506799,-0.044446447184224,0.0459952486170612,-0.00187423780453882,0.0179147629889113,0.0180125373086867,-0.00507553992606445,-0.046200624834476,0.0464785847529491
