"value","timestamp"
2650.68,"2009-10-10 16:19:52.905000000"
3209.35,"2009-10-10 16:20:08.905000000"
3794.76,"2009-10-10 16:20:24.906000000"
4374.22,"2009-10-10 16:20:40.905000000"
5007.18,"2009-10-10 16:20:56.905000000"
5616.36,"2009-10-10 16:21:12.905000000"
6255.26,"2009-10-10 16:21:28.905000000"
6858.49,"2009-10-10 16:21:44.906000000"
7506.31,"2009-10-10 16:22:00.905000000"
8171.95,"2009-10-10 16:22:16.905000000"
8825.71,"2009-10-10 16:22:32.905000000"
9506.21,"2009-10-10 16:22:48.905000000"
10168.9,"2009-10-10 16:23:04.906000000"
10828.6,"2009-10-10 16:23:20.905000000"
11506.1,"2009-10-10 16:23:36.905000000"
12156.9,"2009-10-10 16:23:52.905000000"
12816.6,"2009-10-10 16:24:08.905000000"
13446.6,"2009-10-10 16:24:24.906000000"
14085.5,"2009-10-10 16:24:40.905000000"
14700.6,"2009-10-10 16:24:56.905000000"
15291.9,"2009-10-10 16:25:12.905000000"
15892.2,"2009-10-10 16:25:28.905000000"
16442,"2009-10-10 16:25:44.906000000"
16985.8,"2009-10-10 16:26:00.905000000"
17517.7,"2009-10-10 16:26:16.905000000"
18025.8,"2009-10-10 16:26:32.905000000"
18510.2,"2009-10-10 16:26:48.905000000"
18964.9,"2009-10-10 16:27:04.906000000"
19395.8,"2009-10-10 16:27:20.905000000"
19817.7,"2009-10-10 16:27:36.905000000"
20198.1,"2009-10-10 16:27:52.905000000"
20578.5,"2009-10-10 16:28:08.905000000"
20923.2,"2009-10-10 16:28:24.906000000"
21232.2,"2009-10-10 16:28:40.905000000"
21538.3,"2009-10-10 16:28:56.905000000"
21853.3,"2009-10-10 16:29:12.905000000"
22132.6,"2009-10-10 16:29:28.905000000"
22388.2,"2009-10-10 16:29:44.906000000"
22643.7,"2009-10-10 16:30:00.905000000"
22887.4,"2009-10-10 16:30:16.905000000"
23131.1,"2009-10-10 16:30:32.905000000"
23336.1,"2009-10-10 16:30:48.905000000"
23567.9,"2009-10-10 16:31:04.906000000"
23761.1,"2009-10-10 16:31:20.905000000"
23986.9,"2009-10-10 16:31:36.905000000"
24174.1,"2009-10-10 16:31:52.905000000"
24391,"2009-10-10 16:32:08.905000000"
24602,"2009-10-10 16:32:24.906000000"
24801.1,"2009-10-10 16:32:40.905000000"
25021,"2009-10-10 16:32:56.905000000"
25223.1,"2009-10-10 16:33:12.905000000"
25422.2,"2009-10-10 16:33:28.905000000"
25642.1,"2009-10-10 16:33:44.906000000"
25862,"2009-10-10 16:34:00.905000000"
26081.9,"2009-10-10 16:34:16.905000000"
26292.9,"2009-10-10 16:34:32.905000000"
26521.7,"2009-10-10 16:34:48.905000000"
26753.5,"2009-10-10 16:35:04.906000000"
26982.3,"2009-10-10 16:35:20.904000000"
27217,"2009-10-10 16:35:36.904000000"
27460.7,"2009-10-10 16:35:52.904000000"
27683.6,"2009-10-10 16:36:08.904000000"
27918.3,"2009-10-10 16:36:24.906000000"
28153.1,"2009-10-10 16:36:40.904000000"
28387.9,"2009-10-10 16:36:56.904000000"
28610.7,"2009-10-10 16:37:12.904000000"
28830.6,"2009-10-10 16:37:28.904000000"
29029.7,"2009-10-10 16:37:44.905000000"
29246.7,"2009-10-10 16:38:00.904000000"
29413.1,"2009-10-10 16:38:16.904000000"
29603.3,"2009-10-10 16:38:32.904000000"
29763.7,"2009-10-10 16:38:48.904000000"
29891.5,"2009-10-10 16:39:04.905000000"
30046,"2009-10-10 16:39:20.904000000"
30141.1,"2009-10-10 16:39:36.904000000"
30265.9,"2009-10-10 16:39:52.904000000"
30334.3,"2009-10-10 16:40:08.905000000"
30393.7,"2009-10-10 16:40:24.905000000"
30444.2,"2009-10-10 16:40:40.904000000"
30476.9,"2009-10-10 16:40:56.904000000"
30476.9,"2009-10-10 16:41:12.904000000"
30468,"2009-10-10 16:41:28.904000000"
30429.4,"2009-10-10 16:41:44.905000000"
30372.9,"2009-10-10 16:42:00.904000000"
30280.8,"2009-10-10 16:42:16.904000000"
30191.6,"2009-10-10 16:42:32.904000000"
30054.9,"2009-10-10 16:42:48.904000000"
29924.2,"2009-10-10 16:43:04.905000000"
29751.8,"2009-10-10 16:43:20.904000000"
29564.6,"2009-10-10 16:43:36.904000000"
